model,loss,binary_accuracy,TP,TN,FP,FN,precision,recall,auc
double_extra_concat_production,0.017255788668990135,0.995949387550354,175.0,553293.0,281.0,1970.0,0.3837719261646271,0.08158507943153381,0.8437876105308533
double_production,0.020993223413825035,0.9945709705352783,807.0,551895.0,1679.0,1338.0,0.324617862701416,0.37622377276420593,0.9483279585838318
double_extra_production,0.015523796901106834,0.996244490146637,360.0,553272.0,302.0,1785.0,0.5438066720962524,0.1678321659564972,0.85126131772995
double_concat_production,0.015749966725707054,0.996170699596405,376.0,553215.0,359.0,1769.0,0.5115646123886108,0.17529137432575226,0.8575319051742554
