fold,epoch,loss,binary_accuracy,TP,TN,FP,FN,precision,recall,auc
0,0,65.65058135986328,0.04324375092983246,588.0,4936.0,122190.0,27.0,0.004789131693542004,0.9560975432395935,0.4897680878639221
0,1,4.9038825035095215,0.7338598966598511,128.0,93616.0,33510.0,487.0,0.0038052203599363565,0.20813007652759552,0.4671820104122162
0,2,0.41404613852500916,0.9653909206390381,18.0,123302.0,3824.0,597.0,0.004685059655457735,0.02926829271018505,0.49869033694267273
0,3,0.2893493175506592,0.9827541708946228,7.0,125531.0,1595.0,608.0,0.004369538277387619,0.01138211414217949,0.5017787218093872
0,4,0.2627435326576233,0.9872867465019226,6.0,126111.0,1015.0,609.0,0.005876591429114342,0.009756097570061684,0.49958160519599915
0,5,0.2523515522480011,0.9894004464149475,6.0,126381.0,745.0,609.0,0.007989347912371159,0.009756097570061684,0.4994097054004669
0,6,0.24685220420360565,0.9904729127883911,5.0,126519.0,607.0,610.0,0.008169935084879398,0.008130080997943878,0.5004355907440186
0,7,0.2424093335866928,0.9913105368614197,5.0,126626.0,500.0,610.0,0.009900989942252636,0.008130080997943878,0.5009730458259583
0,8,0.23814642429351807,0.9917411208152771,5.0,126681.0,445.0,610.0,0.011111111380159855,0.008130080997943878,0.501239538192749
0,9,0.2352278083562851,0.9919994473457336,5.0,126714.0,412.0,610.0,0.011990407481789589,0.008130080997943878,0.5014975070953369
0,10,0.23237153887748718,0.9922029972076416,5.0,126740.0,386.0,610.0,0.012787723913788795,0.008130080997943878,0.5016369223594666
0,11,0.2290535271167755,0.9922812581062317,5.0,126750.0,376.0,610.0,0.01312335953116417,0.008130080997943878,0.5024812817573547
0,12,0.2259700447320938,0.9923282265663147,5.0,126756.0,370.0,610.0,0.013333333656191826,0.008130080997943878,0.5025255680084229
0,13,0.22232618927955627,0.9924299716949463,5.0,126769.0,357.0,610.0,0.013812154531478882,0.008130080997943878,0.5033818483352661
0,14,0.2177886664867401,0.9922264814376831,5.0,126743.0,383.0,610.0,0.012886597774922848,0.008130080997943878,0.5031153559684753
0,15,0.21380095183849335,0.9922812581062317,5.0,126750.0,376.0,610.0,0.01312335953116417,0.008130080997943878,0.50315922498703
0,16,0.20979157090187073,0.9923517107963562,5.0,126759.0,367.0,610.0,0.01344086043536663,0.008130080997943878,0.5032283663749695
0,17,0.20559059083461761,0.9922029972076416,6.0,126739.0,387.0,609.0,0.015267175622284412,0.009756097570061684,0.5038150548934937
0,18,0.20100724697113037,0.9924299716949463,6.0,126768.0,358.0,609.0,0.016483517363667488,0.009756097570061684,0.5048298239707947
0,19,0.1965714544057846,0.9923047423362732,6.0,126752.0,374.0,609.0,0.015789473429322243,0.009756097570061684,0.5046842694282532
1,0,0.182048037648201,0.9920904636383057,13.0,337518.0,1095.0,1596.0,0.011732852086424828,0.008079552091658115,0.5066537857055664
1,1,0.16884779930114746,0.9924020171165466,19.0,337618.0,995.0,1590.0,0.0187376718968153,0.011808576993644238,0.5078041553497314
1,2,0.15379704535007477,0.9924696087837219,22.0,337638.0,975.0,1587.0,0.02206619828939438,0.013673088513314724,0.5110796689987183
1,3,0.13702915608882904,0.9925636649131775,26.0,337666.0,947.0,1583.0,0.02672147937119007,0.01615910418331623,0.5156158208847046
1,4,0.11742320656776428,0.9925872087478638,31.0,337669.0,944.0,1578.0,0.031794872134923935,0.019266625866293907,0.5240671038627625
