fold,epoch,loss,binary_accuracy,TP,TN,FP,FN,precision,recall,auc
0,0,0.11438604444265366,0.9665338397026062,6.0,123460.0,3666.0,609.0,0.0016339869471266866,0.009756097570061684,0.40971556305885315
0,1,0.030674215406179428,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.552138090133667
0,2,0.03044891357421875,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.5584852695465088
0,3,0.030323952436447144,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.5699973702430725
0,4,0.030290720984339714,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.5680045485496521
0,5,0.030171198770403862,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.5807568430900574
0,6,0.03006776235997677,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.5840819478034973
0,7,0.030019838362932205,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.586950957775116
0,8,0.029973771423101425,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.5851671099662781
0,9,0.029944781213998795,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.605787456035614
0,10,0.030131448060274124,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.5823860168457031
0,11,0.03002098947763443,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.5754333734512329
0,12,0.030091451480984688,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.575147807598114
0,13,0.029924727976322174,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.6060099005699158
0,14,0.029653381556272507,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.6185368895530701
0,15,0.029595209285616875,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.6246402859687805
0,16,0.029417572543025017,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.6490926146507263
0,17,0.029427312314510345,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.6494758129119873
0,18,0.029490863904356956,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.6369591355323792
0,19,0.029242534190416336,0.9951855540275574,0.0,127126.0,0.0,615.0,0.0,0.0,0.6550129652023315
1,0,0.0292854905128479,0.9952707290649414,0.0,338613.0,0.0,1609.0,0.0,0.0,0.6316725611686707
1,1,0.029110439121723175,0.9952707290649414,0.0,338613.0,0.0,1609.0,0.0,0.0,0.6492838263511658
1,2,0.02889326959848404,0.9952707290649414,0.0,338613.0,0.0,1609.0,0.0,0.0,0.6543196439743042
1,3,0.026722649112343788,0.9952707290649414,0.0,338613.0,0.0,1609.0,0.0,0.0,0.756510317325592
1,4,0.023351270705461502,0.9952648282051086,0.0,338611.0,2.0,1609.0,0.0,0.0,0.8084663152694702
1,5,0.02081216312944889,0.9953354001045227,42.0,338593.0,20.0,1567.0,0.6774193644523621,0.026103170588612556,0.8146907091140747
1,6,0.019220571964979172,0.99539715051651,168.0,338488.0,125.0,1441.0,0.57337886095047,0.10441268235445023,0.8321131467819214
1,7,0.01894369348883629,0.9954118132591248,141.0,338520.0,93.0,1468.0,0.6025640964508057,0.08763206750154495,0.8385599255561829
1,8,0.01819434203207493,0.9953824281692505,137.0,338514.0,99.0,1472.0,0.5805084705352783,0.08514605462551117,0.8432376384735107
1,9,0.01848461665213108,0.9953089356422424,102.0,338524.0,89.0,1507.0,0.5340313911437988,0.06339341402053833,0.8382062911987305
1,10,0.01921055093407631,0.9953883290290833,133.0,338520.0,93.0,1476.0,0.5884955525398254,0.08266003429889679,0.8219541311264038
1,11,0.01937422715127468,0.9951678514480591,147.0,338431.0,182.0,1462.0,0.44680851697921753,0.09136109054088593,0.8285410404205322
1,12,0.01757097989320755,0.9954323768615723,194.0,338474.0,139.0,1415.0,0.5825825929641724,0.12057178467512131,0.8469086289405823
1,13,0.01893242448568344,0.9954118132591248,238.0,338423.0,190.0,1371.0,0.5560747385025024,0.1479179561138153,0.8285280466079712
1,14,0.01809052936732769,0.9954177141189575,213.0,338450.0,163.0,1396.0,0.5664893388748169,0.13238036632537842,0.8366070985794067
1,15,0.018892137333750725,0.9953559637069702,174.0,338468.0,145.0,1435.0,0.5454545617103577,0.1081417053937912,0.8332380652427673
1,16,0.018023718148469925,0.9954588413238525,211.0,338466.0,147.0,1398.0,0.589385449886322,0.13113735616207123,0.8419245481491089
1,17,0.018062636256217957,0.9954559206962585,209.0,338467.0,146.0,1400.0,0.5887324213981628,0.12989434599876404,0.8457565903663635
1,18,0.017731983214616776,0.9955440759658813,245.0,338461.0,152.0,1364.0,0.6171284914016724,0.15226848423480988,0.8461927771568298
1,19,0.0177643820643425,0.9955382347106934,226.0,338478.0,135.0,1383.0,0.6260387897491455,0.14045991003513336,0.841835081577301
2,0,0.01650809869170189,0.9957428574562073,535.0,553339.0,357.0,2011.0,0.5997757911682129,0.21013353765010834,0.8508439064025879
2,1,0.01662890613079071,0.9957752227783203,527.0,553365.0,331.0,2019.0,0.6142191290855408,0.20699135959148407,0.8502499461174011
2,2,0.016762297600507736,0.9955990314483643,407.0,553387.0,309.0,2139.0,0.5684357285499573,0.1598585993051529,0.8556241989135742
2,3,0.017235660925507545,0.9957302808761597,509.0,553358.0,338.0,2037.0,0.6009445190429688,0.19992144405841827,0.8453399538993835
