model,loss,binary_accuracy,TP,TN,FP,FN,precision,recall,auc
feedzai_production,0.02147691696882248,0.9953159689903259,1142.0,551974.0,1600.0,1003.0,0.4164843261241913,0.532400906085968,0.9290494918823242
feedzai_extra_production,0.01540584210306406,0.9945781826972961,1416.0,551290.0,2284.0,729.0,0.38270270824432373,0.6601398587226868,0.9389970302581787
feedzai_concat_production,0.01620427705347538,0.9961113333702087,327.0,553231.0,343.0,1818.0,0.4880596995353699,0.15244755148887634,0.8729274272918701
feedzai_extra_concat_production,0.017675098031759262,0.9961329102516174,117.0,553453.0,121.0,2028.0,0.49159663915634155,0.05454545468091965,0.8361507058143616
double_production,0.012177773751318455,0.996985912322998,869.0,553175.0,399.0,1276.0,0.6853312253952026,0.40512821078300476,0.9127365946769714
double_extra_production,0.02156895585358143,0.9957298636436462,209.0,553137.0,437.0,1936.0,0.3235294222831726,0.09743589907884598,0.8741621375083923
double_concat_production,0.015499886125326157,0.9961815476417542,132.0,553465.0,109.0,2013.0,0.5477178692817688,0.0615384615957737,0.8599947094917297
double_extra_concat_production,0.018039247021079063,0.9959548115730286,150.0,553321.0,253.0,1995.0,0.37220844626426697,0.0699300691485405,0.8430226445198059
