fold,epoch,loss,binary_accuracy,TP,TN,FP,FN,precision,recall,f1_score
1,0,0.0318153090775013,0.9949475526809692,0.0,240445.0,0.0,1221.0,0.0,0.0,[0.01005406]
1,1,0.030894175171852112,0.9949475526809692,0.0,240445.0,0.0,1221.0,0.0,0.0,[0.01005406]
1,2,0.026940204203128815,0.9949475526809692,0.0,240445.0,0.0,1221.0,0.0,0.0,[0.01005406]
1,3,0.018096337094902992,0.9959903359413147,320.0,240377.0,68.0,901.0,0.8247422575950623,0.26208025217056274,[0.01005406]
1,4,0.014468611218035221,0.9965903162956238,539.0,240303.0,142.0,682.0,0.7914831042289734,0.44144144654273987,[0.01005406]
1,5,0.014006654731929302,0.9968303442001343,618.0,240282.0,163.0,603.0,0.791293203830719,0.5061424970626831,[0.01005406]
1,6,0.02051873505115509,0.9949806928634644,10.0,240443.0,2.0,1211.0,0.8333333134651184,0.008190007880330086,[0.01005406]
1,7,0.016122236847877502,0.9964951872825623,570.0,240249.0,196.0,651.0,0.7441253066062927,0.46683046221733093,[0.01005406]
1,8,0.028115035966038704,0.9903213381767273,745.0,238582.0,1863.0,476.0,0.285659521818161,0.6101555824279785,[0.01005406]
1,9,0.019673524424433708,0.9940910339355469,780.0,239458.0,987.0,441.0,0.441426157951355,0.6388206481933594,[0.01005406]
1,10,0.02092864364385605,0.9940578937530518,668.0,239562.0,883.0,553.0,0.43068987131118774,0.5470925569534302,[0.01005406]
1,11,0.0155015354976058,0.9958703517913818,719.0,239949.0,496.0,502.0,0.5917695760726929,0.5888615846633911,[0.01005406]
1,12,0.017070215195417404,0.9963006973266602,466.0,240306.0,139.0,755.0,0.7702479362487793,0.38165438175201416,[0.01005406]
1,13,0.016321340575814247,0.9959779381752014,639.0,240055.0,390.0,582.0,0.6209912300109863,0.5233415365219116,[0.01005406]
1,14,0.017232265323400497,0.9958496689796448,426.0,240237.0,208.0,795.0,0.6719242930412292,0.3488943576812744,[0.01005406]
1,15,0.01443018764257431,0.9968220591545105,677.0,240221.0,224.0,544.0,0.751387357711792,0.5544635653495789,[0.01005406]
1,16,0.02323925495147705,0.9949475526809692,0.0,240445.0,0.0,1221.0,0.0,0.0,[0.01005406]
1,17,0.019550511613488197,0.996420681476593,449.0,240352.0,93.0,772.0,0.8284133076667786,0.36773136258125305,[0.01005406]
1,18,0.022031892091035843,0.9951337575912476,53.0,240437.0,8.0,1168.0,0.868852436542511,0.04340704157948494,[0.01005406]
1,19,0.021288970485329628,0.9950303435325623,25.0,240440.0,5.0,1196.0,0.8333333134651184,0.02047502063214779,[0.01005406]
2,0,0.03295112028717995,0.9948979020118713,0.0,240433.0,0.0,1233.0,0.0,0.0,[0.01015237]
2,1,0.0328034833073616,0.9948979020118713,0.0,240433.0,0.0,1233.0,0.0,0.0,[0.01015237]
2,2,0.030242841690778732,0.9948979020118713,0.0,240433.0,0.0,1233.0,0.0,0.0,[0.01015237]
2,3,0.022775135934352875,0.9948979020118713,0.0,240433.0,0.0,1233.0,0.0,0.0,[0.01015237]
2,4,0.03112521581351757,0.9948979020118713,0.0,240433.0,0.0,1233.0,0.0,0.0,[0.01015237]
2,5,0.02119693160057068,0.9956758618354797,391.0,240230.0,203.0,842.0,0.6582491397857666,0.3171127438545227,[0.01015237]
2,6,0.02007743902504444,0.9948565363883972,606.0,239817.0,616.0,627.0,0.49590834975242615,0.4914841949939728,[0.01015237]
2,7,0.032142020761966705,0.9948979020118713,0.0,240433.0,0.0,1233.0,0.0,0.0,[0.01015237]
2,8,0.02544536627829075,0.9948979020118713,0.0,240433.0,0.0,1233.0,0.0,0.0,[0.01015237]
2,9,0.028154078871011734,0.9948979020118713,0.0,240433.0,0.0,1233.0,0.0,0.0,[0.01015237]
2,10,0.026858288794755936,0.9948937892913818,0.0,240432.0,1.0,1233.0,0.0,0.0,[0.01015237]
2,11,0.02587834745645523,0.9957006573677063,240.0,240387.0,46.0,993.0,0.8391608595848083,0.19464720785617828,[0.01015237]
2,12,0.028318388387560844,0.9948068857192993,66.0,240345.0,88.0,1167.0,0.4285714328289032,0.05352798104286194,[0.01015237]
2,13,0.024494625627994537,0.9953572154045105,139.0,240405.0,28.0,1094.0,0.832335352897644,0.11273317039012909,[0.01015237]
2,14,0.017766596749424934,0.9963751435279846,505.0,240285.0,148.0,728.0,0.7733537554740906,0.4095701575279236,[0.01015237]
2,15,0.019940972328186035,0.9960565567016602,419.0,240294.0,139.0,814.0,0.7508960366249084,0.33982157707214355,[0.01015237]
2,16,0.017942773178219795,0.995911717414856,634.0,240044.0,389.0,599.0,0.6197458505630493,0.5141929984092712,[0.01015237]
2,17,0.01644924469292164,0.9961020350456238,597.0,240127.0,306.0,636.0,0.6611295938491821,0.4841849207878113,[0.01015237]
2,18,0.02004581317305565,0.9955847859382629,328.0,240271.0,162.0,905.0,0.6693877577781677,0.2660178542137146,[0.01015237]
2,19,0.014685506001114845,0.996511697769165,620.0,240203.0,230.0,613.0,0.729411780834198,0.5028386116027832,[0.01015237]
3,0,0.03205407038331032,0.995199978351593,0.0,240506.0,0.0,1160.0,0.0,0.0,[0.00955417]
3,1,0.030736727640032768,0.995199978351593,0.0,240506.0,0.0,1160.0,0.0,0.0,[0.00955417]
3,2,0.03070964477956295,0.995199978351593,0.0,240506.0,0.0,1160.0,0.0,0.0,[0.00955417]
3,3,0.027645168825984,0.995199978351593,0.0,240506.0,0.0,1160.0,0.0,0.0,[0.00955417]
3,4,0.026501260697841644,0.995199978351593,0.0,240506.0,0.0,1160.0,0.0,0.0,[0.00955417]
3,5,0.0230274498462677,0.9941861629486084,294.0,239967.0,539.0,866.0,0.3529411852359772,0.2534482777118683,[0.00955417]
3,6,0.020495852455496788,0.9939006567001343,201.0,239991.0,515.0,959.0,0.28072625398635864,0.17327585816383362,[0.00955417]
3,7,0.018929654732346535,0.9954027533531189,593.0,239962.0,544.0,567.0,0.5215479135513306,0.5112069249153137,[0.00955417]
3,8,0.01842961460351944,0.994864821434021,143.0,240282.0,224.0,1017.0,0.3896457850933075,0.12327586114406586,[0.00955417]
3,9,0.01761815696954727,0.9965903162956238,612.0,240230.0,276.0,548.0,0.6891891956329346,0.5275862216949463,[0.00955417]
3,10,0.02837541326880455,0.9952992796897888,28.0,240502.0,4.0,1132.0,0.875,0.02413793094456196,[0.00955417]
3,11,0.01862933300435543,0.9953407049179077,605.0,239935.0,571.0,555.0,0.5144557952880859,0.5215517282485962,[0.00955417]
3,12,0.019706489518284798,0.9937517046928406,665.0,239491.0,1015.0,495.0,0.3958333432674408,0.5732758641242981,[0.00955417]
3,13,0.0264724250882864,0.995199978351593,0.0,240506.0,0.0,1160.0,0.0,0.0,[0.00955417]
3,14,0.02303355559706688,0.9955765604972839,525.0,240072.0,434.0,635.0,0.5474452376365662,0.45258620381355286,[0.00955417]
3,15,0.026476610451936722,0.995199978351593,0.0,240506.0,0.0,1160.0,0.0,0.0,[0.00955417]
3,16,0.018645888194441795,0.996399998664856,345.0,240451.0,55.0,815.0,0.862500011920929,0.29741379618644714,[0.00955417]
3,17,0.015108557417988777,0.9967930912971497,635.0,240256.0,250.0,525.0,0.7175140976905823,0.5474137663841248,[0.00955417]
3,18,0.014952549710869789,0.9968799948692322,562.0,240350.0,156.0,598.0,0.7827298045158386,0.4844827651977539,[0.00955417]
3,19,0.014058797620236874,0.9965903162956238,633.0,240209.0,297.0,527.0,0.6806451678276062,0.5456896424293518,[0.00955417]
4,0,0.03087722323834896,0.9951751828193665,0.0,240500.0,0.0,1166.0,0.0,0.0,[0.00960335]
4,1,0.0306626558303833,0.9951751828193665,0.0,240500.0,0.0,1166.0,0.0,0.0,[0.00960335]
4,2,0.030863899737596512,0.9951751828193665,0.0,240500.0,0.0,1166.0,0.0,0.0,[0.00960335]
4,3,0.026625430211424828,0.9951751828193665,0.0,240500.0,0.0,1166.0,0.0,0.0,[0.00960335]
