fold,epoch,loss,binary_accuracy,TP,TN,FP,FN,precision,recall,f1_score
2,5,0.025166207924485207,0.995179295539856,101.0,240400.0,33.0,1132.0,0.753731369972229,0.0819140300154686,[0.01015237]
2,6,0.02047666162252426,0.9949806928634644,629.0,239824.0,609.0,604.0,0.5080775618553162,0.5101378560066223,[0.01015237]
2,7,0.01873643510043621,0.9955475926399231,210.0,240380.0,53.0,1023.0,0.7984790802001953,0.17031630873680115,[0.01015237]
2,8,0.01637001894414425,0.9962634444236755,694.0,240069.0,364.0,539.0,0.6559546589851379,0.5628548264503479,[0.01015237]
2,9,0.01712980307638645,0.9959654808044434,348.0,240343.0,90.0,885.0,0.7945205569267273,0.2822384536266327,[0.01015237]
2,10,0.01831747591495514,0.9960482716560364,347.0,240364.0,69.0,886.0,0.8341346383094788,0.28142741322517395,[0.01015237]
2,11,0.0184016115963459,0.9956592917442322,274.0,240343.0,90.0,959.0,0.7527472376823425,0.2222222238779068,[0.01015237]
2,12,0.018880276009440422,0.9951047897338867,588.0,239895.0,538.0,645.0,0.5222024917602539,0.4768856465816498,[0.01015237]
2,13,0.02663043513894081,0.9889682531356812,761.0,238239.0,2194.0,472.0,0.257529616355896,0.6171938180923462,[0.01015237]
2,14,0.028592118993401527,0.9949268698692322,17.0,240423.0,10.0,1216.0,0.6296296119689941,0.013787509873509407,[0.01015237]
2,15,0.016933944076299667,0.9952496290206909,704.0,239814.0,619.0,529.0,0.5321239829063416,0.5709651112556458,[0.01015237]
2,16,0.018354490399360657,0.9939420819282532,695.0,239507.0,926.0,538.0,0.42874768376350403,0.5636658668518066,[0.01015237]
2,17,0.01624584011733532,0.9964413642883301,653.0,240153.0,280.0,580.0,0.6998928189277649,0.529602587223053,[0.01015237]
2,18,0.029078705236315727,0.9875820279121399,783.0,237882.0,2551.0,450.0,0.23485302925109863,0.6350364685058594,[0.01015237]
2,19,0.014064830727875233,0.9967061877250671,695.0,240175.0,258.0,538.0,0.7292759418487549,0.5636658668518066,[0.01015237]
3,0,0.030582129955291748,0.995199978351593,0.0,240506.0,0.0,1160.0,0.0,0.0,[0.00955417]
3,1,0.03066239319741726,0.995199978351593,0.0,240506.0,0.0,1160.0,0.0,0.0,[0.00955417]
3,2,0.02981385588645935,0.995199978351593,0.0,240506.0,0.0,1160.0,0.0,0.0,[0.00955417]
3,3,0.02401251159608364,0.995199978351593,0.0,240506.0,0.0,1160.0,0.0,0.0,[0.00955417]
3,4,0.020376326516270638,0.995282769203186,34.0,240492.0,14.0,1126.0,0.7083333134651184,0.02931034564971924,[0.00955417]
3,5,0.01863764226436615,0.9951503276824951,600.0,239894.0,612.0,560.0,0.49504950642585754,0.517241358757019,[0.00955417]
3,6,0.03313210979104042,0.9952248334884644,6.0,240506.0,0.0,1154.0,1.0,0.005172413773834705,[0.00955417]
3,7,0.023049239069223404,0.993238627910614,606.0,239426.0,1080.0,554.0,0.35943061113357544,0.5224137902259827,[0.00955417]
3,8,0.01579250954091549,0.9956551790237427,642.0,239974.0,532.0,518.0,0.5468483567237854,0.5534482598304749,[0.00955417]
3,9,0.022796664386987686,0.995199978351593,0.0,240506.0,0.0,1160.0,0.0,0.0,[0.00955417]
3,10,0.02028721198439598,0.9967972040176392,469.0,240423.0,83.0,691.0,0.8496376872062683,0.40431034564971924,[0.00955417]
3,11,0.020568305626511574,0.9955310225486755,99.0,240487.0,19.0,1061.0,0.8389830589294434,0.0853448286652565,[0.00955417]
3,12,0.01609000563621521,0.9958207011222839,607.0,240049.0,457.0,553.0,0.5704887509346008,0.5232758522033691,[0.00955417]
3,13,0.02231450378894806,0.995270311832428,77.0,240446.0,60.0,1083.0,0.5620437860488892,0.06637930870056152,[0.00955417]
3,14,0.019346248358488083,0.9946041107177734,649.0,239713.0,793.0,511.0,0.4500693380832672,0.559482753276825,[0.00955417]
3,15,0.01719663292169571,0.996176540851593,579.0,240163.0,343.0,581.0,0.6279826760292053,0.4991379380226135,[0.00955417]
3,16,0.02233983762562275,0.9940248131752014,638.0,239584.0,922.0,522.0,0.4089743494987488,0.550000011920929,[0.00955417]
3,17,0.018745550885796547,0.9948151707649231,632.0,239781.0,725.0,528.0,0.46573323011398315,0.5448275804519653,[0.00955417]
3,18,0.022390080615878105,0.9952413439750671,24.0,240492.0,14.0,1136.0,0.6315789222717285,0.02068965509533882,[0.00955417]
3,19,0.029218632727861404,0.9913724064826965,675.0,238906.0,1600.0,485.0,0.2967033088207245,0.5818965435028076,[0.00955417]
4,0,0.03181079402565956,0.9951751828193665,0.0,240500.0,0.0,1166.0,0.0,0.0,[0.00960335]
4,1,0.030871303752064705,0.9951751828193665,0.0,240500.0,0.0,1166.0,0.0,0.0,[0.00960335]
4,2,0.030592188239097595,0.9951751828193665,0.0,240500.0,0.0,1166.0,0.0,0.0,[0.00960335]
4,3,0.023516060784459114,0.9951834082603455,2.0,240500.0,0.0,1164.0,1.0,0.0017152659129351377,[0.00960335]
4,4,0.03306376561522484,0.9951875805854797,3.0,240500.0,0.0,1163.0,1.0,0.002572898752987385,[0.00960335]
4,5,0.029016001150012016,0.9951751828193665,0.0,240500.0,0.0,1166.0,0.0,0.0,[0.00960335]
4,6,0.026691820472478867,0.9955434203147888,464.0,240125.0,375.0,702.0,0.5530393123626709,0.3979416787624359,[0.00960335]
4,7,0.02320413663983345,0.9957917332649231,554.0,240095.0,405.0,612.0,0.5776851177215576,0.4751286506652832,[0.00960335]
4,8,0.02003065124154091,0.994691014289856,596.0,239787.0,713.0,570.0,0.4553093910217285,0.5111492276191711,[0.00960335]
4,9,0.01791299320757389,0.9966027736663818,450.0,240395.0,105.0,716.0,0.8108108043670654,0.38593482971191406,[0.00960335]
4,10,0.01915034092962742,0.9956220388412476,505.0,240103.0,397.0,661.0,0.5598669648170471,0.43310463428497314,[0.00960335]
4,11,0.02596830204129219,0.9952123761177063,369.0,240140.0,360.0,797.0,0.5061728358268738,0.3164665400981903,[0.00960335]
4,12,0.016920816153287888,0.9965282678604126,595.0,240232.0,268.0,571.0,0.6894553899765015,0.510291576385498,[0.00960335]
4,13,0.023724090307950974,0.9940207004547119,638.0,239583.0,917.0,528.0,0.41028937697410583,0.5471698045730591,[0.00960335]
4,14,0.015718631446361542,0.9970331192016602,609.0,240340.0,160.0,557.0,0.7919375896453857,0.5222984552383423,[0.00960335]
4,15,0.01995193026959896,0.9953241348266602,101.0,240435.0,65.0,1065.0,0.608433723449707,0.08662092685699463,[0.00960335]
4,16,0.024352071806788445,0.9945751428604126,119.0,240236.0,264.0,1047.0,0.31070494651794434,0.10205832123756409,[0.00960335]
4,17,0.02006041444838047,0.9950510263442993,517.0,239953.0,547.0,649.0,0.48590224981307983,0.4433962404727936,[0.00960335]
4,18,0.02360999584197998,0.9950593113899231,105.0,240367.0,133.0,1061.0,0.44117647409439087,0.09005145728588104,[0.00960335]
4,19,0.03405378758907318,0.9915751218795776,581.0,239049.0,1451.0,585.0,0.2859252095222473,0.4982847273349762,[0.00960335]
5,0,0.03073609061539173,0.9953985810279846,0.0,240554.0,0.0,1112.0,0.0,0.0,[0.00916063]
5,1,0.03039378859102726,0.9953985810279846,0.0,240554.0,0.0,1112.0,0.0,0.0,[0.00916063]
5,2,0.02986884117126465,0.9953985810279846,0.0,240554.0,0.0,1112.0,0.0,0.0,[0.00916063]
5,3,0.026515930891036987,0.9953985810279846,0.0,240554.0,0.0,1112.0,0.0,0.0,[0.00916063]
5,4,0.03833756968379021,0.9951296448707581,65.0,240424.0,130.0,1047.0,0.3333333432674408,0.058453235775232315,[0.00916063]
5,5,0.03617776185274124,0.9883847832679749,419.0,238440.0,2114.0,693.0,0.16541650891304016,0.3767985701560974,[0.00916063]
5,6,0.02581089735031128,0.9932965040206909,489.0,239557.0,997.0,623.0,0.3290713429450989,0.43974819779396057,[0.00916063]
5,7,0.02253473736345768,0.9943972229957581,472.0,239840.0,714.0,640.0,0.3979763984680176,0.42446044087409973,[0.00916063]
5,8,0.01790604740381241,0.9959034323692322,501.0,240175.0,379.0,611.0,0.5693181753158569,0.45053955912590027,[0.00916063]
5,9,0.016556812450289726,0.9960979223251343,524.0,240199.0,355.0,588.0,0.5961319804191589,0.47122302651405334,[0.00916063]
5,10,0.022449079900979996,0.9940578937530518,542.0,239688.0,866.0,570.0,0.3849431872367859,0.4874100685119629,[0.00916063]
5,11,0.023107919842004776,0.9955103397369385,35.0,240546.0,8.0,1077.0,0.8139534592628479,0.031474821269512177,[0.00916063]
5,12,0.016182037070393562,0.9968303442001343,509.0,240391.0,163.0,603.0,0.757440447807312,0.45773380994796753,[0.00916063]
5,13,0.02280718833208084,0.9954110383987427,10.0,240547.0,7.0,1102.0,0.5882353186607361,0.008992806077003479,[0.00916063]
5,14,0.017435649409890175,0.995535135269165,563.0,240024.0,530.0,549.0,0.5150960683822632,0.5062949657440186,[0.00916063]
5,15,0.01915925182402134,0.995046854019165,580.0,239889.0,665.0,532.0,0.4658634662628174,0.5215827226638794,[0.00916063]
5,16,0.016831466928124428,0.9957544803619385,589.0,240051.0,503.0,523.0,0.5393772721290588,0.5296762585639954,[0.00916063]
5,17,0.016831310465931892,0.995779275894165,545.0,240101.0,453.0,567.0,0.5460922122001648,0.490107923746109,[0.00916063]
5,18,0.019824352115392685,0.9959737658500671,267.0,240426.0,128.0,845.0,0.6759493947029114,0.24010790884494781,[0.00916063]
5,19,0.021651960909366608,0.9937806725502014,587.0,239576.0,978.0,525.0,0.375079870223999,0.527877688407898,[0.00916063]
